If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Shopping em BH terá fazenda urbana de 2.700 m²,Berners-Lee quer criar outra Web,Microsoft's Open Source Love Affair Reaches New Heights
Welcome Google Cloud Platform!,Why Google App Engine rocks: A Google engineer's take,The AI business landscape,An overview of web service solutions in Drupal 8,"Amazon open-sources its own deep learning software, DSSTNE",Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab
Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Staying one step ahead at Pixar: An interview with Ed Catmull,The return of the machinery question,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Artificial intelligence is changing SEO faster than you think,Inbox by Gmail ganha formatação de texto | Google Discovery
Conselho da SABMiller aceita proposta de compra da AB InBev,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Meet the new Brazilian consumer
Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The future of the shopping mall,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Quando usar paginação e quando usar scroll infinito?,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls"
Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,big data = real time,Organizing for digital acceleration: Making a two-speed IT operating model work,A saga do jovem CEO da Dasa,Design Sprint: onde o design e a velocidade importam,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil
The Java 8 API Design Principles,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",The five phases of migrating to Google Cloud Platform,Prisma for Android is now live for all in the Google Play Store,The hardest thing in computer science,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
Things you probably didn't know you could do with Chrome's Developer Console,Mobify report reveals impact of mobile website speed,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Don't Start Big, Start a Little Snowball"
Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,What to Expect at WWDC 2016,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Alecrim/AlecrimCoreData
Hype Driven Development,Tasting Dagger 2 on Android,Criando ícones animados no Android,Things you probably didn't know you could do with Chrome's Developer Console,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed
Quando usar paginação e quando usar scroll infinito?,The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Shopping app Spring's redesign could be a game-changer,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards
XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,A digital crack in banking's business model,8 Insanely Simple Productivity Hacks,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Nubank e Goldman fecham parceria de R$ 200 milhões
"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,What to Expect at WWDC 2016,Alecrim/AlecrimCoreData
Serverless Architectures,What to Inspect When You are Inspecting!,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Spring Boot 1.5.1 released,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Serverless real-time architecture on AWS: there is a way !
CSS Containment in Chrome 52 | Web Updates - Google Developers,"Apple's new file manager, APFS, is awesome",The five phases of migrating to Google Cloud Platform,19 Tips For Everyday Git Use,Leveling Up Your JavaScript -,What to Inspect When You are Inspecting!
Java 8 Streams : 10 missing features,Why Programmers Want Private Offices,What makes a good (Android) Software Engineer,Serverless real-time architecture on AWS: there is a way !,Hype Driven Development,"The Languages, Frameworks and Tools You Should Learn in 2017"
Message buttons and the Slack API - Slack Platform Blog,Aplicação de visão computacional com OpenCV,How I sped up the initial render of my Polymer app by 86%,Acesse a versão Material Design do YouTube | Google Discovery,"Autofill: What web devs should know, but don't",Squads não-suicidas - Hipsters #08
Design Patterns: Progressive Disclosure for Mobile Apps,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Joel on Software,Ordering coffee in Italy: the 10 commandments,Alecrim/AlecrimCoreData,Apple Releases First Preview of Swift 3.0 for Developers
Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Agronegócio mantém crescimento com tecnologia - inova.jor,Will blockchain drive the fourth Industrial Revolution?,Este texto do Ranieri é a melhor coisa que você lerá hoje
SOA com microserviços - Sensedia,Microservices: Real Architectural Patterns,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Building Spring Cloud Microservices That Strangle Legacy Systems
Nubank começa a testar seu programa de fidelidade - Empresas Tech,Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão
Mary Meeker's essential 2016 Internet Trends Report,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,The AI business landscape,Making open source data more available,Touch (TV Series 2012-2013),Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits,Digital Health Coaching,Facebook's WhatsApp does something very different than Google,"Pedágio das rodovias estaduais de SP sobe 9,32% na sexta-feira - O Liberal",Cinco competências comportamentais para você ser um bom líder,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste"
"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",Bradesco vai lançar novo banco digital: o Next.,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,What Color is Your Function?,Para entender o Dia Internacional contra a Homofobia,A minha viagem à Maternidade #tetodomundo
How enterprise architects can help ensure success with digital transformations,Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc,Blaise Agüera y Arcas: How computers are learning to be creative,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Machine Learning Is Redefining The Enterprise In 2016
The real reasons you procrastinate - and how to stop,The Children's Illustrated Guide to Kubernetes,What to Inspect When You are Inspecting!,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,How to Design a Walkthrough That Users Will Read,Resenha - A Chegada
Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Itaú é pioneiro do blockchain,Confused by blockchains? Revolution vs Evolution,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Nubank pode fechar as portas se BC confirmar mudança amanhã,Starbucks tem mais dinheiro do cliente em cartões do que bancos
Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Microservices Architecture on Google App Engine,Advanced Android Espresso,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Modelando APIs REST com Swagger,Xamarin for Everyone,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",The Ultimate Solution to Versioning REST APIs: Content Negotiation,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Migrating from Parse to Bluemix,Introducing New Relic Infrastructure,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",The moment when you realize every server in the world is vulnerable - Free Code Camp,Decentralizing IoT networks through blockchain
Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Testes unitários vs aceitação - Android Dev BR,My favorite people and resources to learn Android programming from,The Business Case for Progressive Web Apps,The technology behind preview photos
